2009-11-25 01:40:57 status unpacked libpam-modules 1.0.1-5+lenny1
2009-11-25 01:40:57 status unpacked libpam-modules 1.0.1-5+lenny1
2009-11-25 01:40:57 install passwd <none> 1:4.1.1-6
2009-11-25 01:40:57 status half-installed passwd 1:4.1.1-6
2009-11-25 01:40:57 status unpacked passwd 1:4.1.1-6
2009-11-25 01:40:57 status unpacked passwd 1:4.1.1-6
2009-11-25 01:40:57 install libuuid1 <none> 1.41.3-1
2009-11-25 01:40:57 status half-installed libuuid1 1.41.3-1
2009-11-25 01:40:57 status unpacked libuuid1 1.41.3-1
2009-11-25 01:40:57 status unpacked libuuid1 1.41.3-1
2009-11-25 01:40:57 install libblkid1 <none> 1.41.3-1
2009-11-25 01:40:57 status half-installed libblkid1 1.41.3-1
2009-11-25 01:40:57 status unpacked libblkid1 1.41.3-1
2009-11-25 01:40:57 status unpacked libblkid1 1.41.3-1
2009-11-25 01:40:57 install libss2 <none> 1.41.3-1
2009-11-25 01:40:57 status half-installed libss2 1.41.3-1
2009-11-25 01:40:57 status unpacked libss2 1.41.3-1
2009-11-25 01:40:57 status unpacked libss2 1.41.3-1
2009-11-25 01:40:57 install e2fsprogs <none> 1.41.3-1
2009-11-25 01:40:57 status half-installed e2fsprogs 1.41.3-1
2009-11-25 01:40:57 status unpacked e2fsprogs 1.41.3-1
2009-11-25 01:40:57 status unpacked e2fsprogs 1.41.3-1
2009-11-25 01:40:57 install findutils <none> 4.4.0-2
2009-11-25 01:40:57 status half-installed findutils 4.4.0-2
2009-11-25 01:40:58 status unpacked findutils 4.4.0-2
2009-11-25 01:40:58 status unpacked findutils 4.4.0-2
2009-11-25 01:40:58 install gcc-4.2-base <none> 4.2.4-6
2009-11-25 01:40:58 status half-installed gcc-4.2-base 4.2.4-6
2009-11-25 01:40:58 status unpacked gcc-4.2-base 4.2.4-6
2009-11-25 01:40:58 status unpacked gcc-4.2-base 4.2.4-6
2009-11-25 01:40:58 install grep <none> 2.5.3~dfsg-6
2009-11-25 01:40:58 status half-installed grep 2.5.3~dfsg-6
2009-11-25 01:40:58 status unpacked grep 2.5.3~dfsg-6
2009-11-25 01:40:58 status unpacked grep 2.5.3~dfsg-6
2009-11-25 01:40:58 install gzip <none> 1.3.12-6
2009-11-25 01:40:58 status half-installed gzip 1.3.12-6
2009-11-25 01:40:58 status unpacked gzip 1.3.12-6
2009-11-25 01:40:58 status unpacked gzip 1.3.12-6
2009-11-25 01:40:58 install hostname <none> 2.95
2009-11-25 01:40:58 status half-installed hostname 2.95
2009-11-25 01:40:58 status unpacked hostname 2.95
2009-11-25 01:40:58 status unpacked hostname 2.95
2009-11-25 01:40:58 install mount <none> 2.13.1.1-1
2009-11-25 01:40:58 status half-installed mount 2.13.1.1-1
2009-11-25 01:40:58 status unpacked mount 2.13.1.1-1
2009-11-25 01:40:58 status unpacked mount 2.13.1.1-1
2009-11-25 01:40:58 install ncurses-bin <none> 5.7+20081213-1
2009-11-25 01:40:58 status half-installed ncurses-bin 5.7+20081213-1
2009-11-25 01:40:58 status unpacked ncurses-bin 5.7+20081213-1
2009-11-25 01:40:58 status unpacked ncurses-bin 5.7+20081213-1
2009-11-25 01:40:58 install lsb-base <none> 3.2-20
2009-11-25 01:40:58 status half-installed lsb-base 3.2-20
2009-11-25 01:40:58 status unpacked lsb-base 3.2-20
2009-11-25 01:40:58 status unpacked lsb-base 3.2-20
2009-11-25 01:40:58 install libsepol1 <none> 2.0.30-2
2009-11-25 01:40:58 status half-installed libsepol1 2.0.30-2
2009-11-25 01:40:58 status unpacked libsepol1 2.0.30-2
2009-11-25 01:40:58 status unpacked libsepol1 2.0.30-2
2009-11-25 01:40:58 install initscripts <none> 2.86.ds1-61
2009-11-25 01:40:58 status half-installed initscripts 2.86.ds1-61
2009-11-25 01:40:58 status unpacked initscripts 2.86.ds1-61
2009-11-25 01:40:58 status unpacked initscripts 2.86.ds1-61
2009-11-25 01:40:58 install libdevmapper1.02.1 <none> 2:1.02.27-4
2009-11-25 01:40:58 status half-installed libdevmapper1.02.1 2:1.02.27-4
2009-11-25 01:40:58 status unpacked libdevmapper1.02.1 2:1.02.27-4
2009-11-25 01:40:58 status unpacked libdevmapper1.02.1 2:1.02.27-4
2009-11-25 01:40:58 install libslang2 <none> 2.1.3-3
2009-11-25 01:40:58 status half-installed libslang2 2.1.3-3
2009-11-25 01:40:58 status unpacked libslang2 2.1.3-3
2009-11-25 01:40:58 status unpacked libslang2 2.1.3-3
2009-11-25 01:40:58 install login <none> 1:4.1.1-6
2009-11-25 01:40:58 status half-installed login 1:4.1.1-6
2009-11-25 01:40:58 status unpacked login 1:4.1.1-6
2009-11-25 01:40:58 status unpacked login 1:4.1.1-6
2009-11-25 01:40:59 install makedev <none> 2.3.1-88
2009-11-25 01:40:59 status half-installed makedev 2.3.1-88
2009-11-25 01:40:59 status unpacked makedev 2.3.1-88
2009-11-25 01:40:59 status unpacked makedev 2.3.1-88
